name,degrees,description,speciality,qualification,vinmec_site,price_local,price_foreigner
Trần Văn Vương,,,,,Bệnh viện ĐKQT Vinmec Central Park,345000,345000
Trần Tuyến,"Thạc sĩ, Bác sĩ nội trú","Thạc sĩ, BSCK I Trần Tuyến đã có nhiều năm kinh nghiệm trong lĩnh vực Ngoại Nhi. Bác sĩ Trần Tuyến tốt nghiệp Bác sĩ nội trú Đại học Y Dược Thành phố Hồ Chí Minh, bên cạnh công tác chuyên môn, bác sĩ tham gia vào các công trình nghiên cứu khoa học, báo cáo hội nghị khoa học trong và ngoài nước, sáng lập Học viện Bác sĩ nội trú Việt Nam.
Hiện tại, Thạc sĩ, BSCK I Trần Tuyến đang giữ chức vụ là Bác sĩ Ngoại nhi công tác tại khoa Nhi - Sơ sinh, Bệnh viện Đa khoa Quốc tế Vinmec Central Park.",Nhi,"2019 - 2020: Tốt nghiệp Thạc sĩ, Bác sĩ chuyên khoa 1 - Bác sĩ nội trú chuyên ngành Ngoại Nhi tại Đại học Y Dược Thành phố Hồ Chí Minh


2011 - 2017: Học Bác sĩ đa khoa tại Đại học Y Dược Thành phố Hồ Chí Minh

2017 - 2020: Học Bác sĩ nội trú - chuyên ngành Ngoại Nhi tại Đại học Y Dược Thành phố Hồ Chí Minh. Làm việc tại Bệnh viện Nhi Đồng 1, Bệnh viện Nhi Đồng 2, Bệnh viện Nhi Đồng Thành Phố",Bệnh viện ĐKQT Vinmec Central Park,345000,345000
Lê Hữu Phúc,,,,,Bệnh viện ĐKQT Vinmec Central Park,345000,345000
Lê Nguyễn Yên,,,,,Bệnh viện ĐKQT Vinmec Central Park,345000,345000
Phạm Lê Huy Lãm,,,,,Bệnh viện ĐKQT Vinmec Central Park,345000,345000
Trần Hoàng Ngọc Anh,Tiến sĩ,"TS.BS Trần Hoàng Ngọc Anh hiện giữ vai trò Giám đốc Trung tâm Thần kinh Cột sống, Bệnh viện Đa khoa Quốc tế Vinmec Central Park. Trước khi gia nhập Vinmec, bác sĩ từng đảm nhiệm nhiều vị trí quan trọng tại các bệnh viện tuyến đầu như Chợ Rẫy, Nhân Dân Gia Định và Đại học Y Dược TP. Hồ Chí Minh.
Trong quá trình tu nghiệp, bác sĩ Ngọc Anh đã có thời gian dài học tập, nghiên cứu và thực hành tại Cộng hòa Pháp cùng nhiều trung tâm y khoa tiên tiến khác ở châu Á. Nền tảng chuyên môn vững chắc kết hợp với kinh nghiệm thực tiễn đa dạng giúp bác sĩ làm chủ nhiều kỹ thuật vi phẫu phức tạp, đặc biệt là trong chấn thương sọ não, bệnh lý cột sống, u não – u tủy, phẫu thuật túi phình mạch máu não và điều trị co giật nửa mặt, đau dây thần kinh V.
Song song với hoạt động lâm sàng, TS.BS Trần Hoàng Ngọc Anh còn là tác giả và đồng tác giả của nhiều công trình nghiên cứu đăng trên các tạp chí y học uy tín, đóng góp quan trọng cho sự phát triển của ngành ngoại thần kinh tại Việt Nam. Các đề tài của bác sĩ tập trung vào vi phẫu thuật u não, phẫu thuật mạch máu não, phẫu thuật nội soi tuyến yên và giải ép vi mạch - lĩnh vực vốn đòi hỏi trình độ kỹ thuật cao và kinh nghiệm dày dạn.
Với tầm nhìn vừa chú trọng điều trị vừa nâng cao chất lượng sống cho người bệnh, bác sĩ Ngọc Anh đã khẳng định được uy tín chuyên môn, đồng thời trở thành một trong những gương mặt tiêu biểu của thế hệ phẫu thuật viên thần kinh Việt Nam hội nhập cùng y học quốc tế.","Thần kinh, Ngoại Thần kinh","09/2001: Tốt nghiệp Bác sĩ đa khoa tại Đại học Y Dược TP. Hồ Chí Minh
03/2015: Bác sĩ nội trú Ngoại thần kinh tại Đại học Y Dược TP. Hồ Chí Minh
01/2008: DIU Ngoại thần kinh tại CHU DE POITIERS, FRANCE
03/2008: Thạc sĩ Ngoại thần kinh tại Đại học Y Dược TP. Hồ Chí Minh
10/2009: Chứng nhận làm nội trú ngoại thần kinh tại trung tâm viện trường, POITIERS Cộng Hoà Pháp
03/2016: Tiến sĩ Ngoại thần kinh tại Đại học Y Dược TP. Hồ Chí Minh",Bệnh viện ĐKQT Vinmec Central Park,345000,345000
Trương Văn Trí,Thạc sĩ,"Bác sĩ Trương Văn Trí có hơn 20 năm kinh nghiệm trong lĩnh vực phẫu thuật sọ não và cột sống, có thế mạnh chuyên môn về phẫu thuật điều trị động kinh, co giật nửa mặt, rối loạn vận động, đau thần kinh mạn tính, bệnh lý cột sống, và u não.
Bác sĩ Trương Văn Trí tốt nghiệp Thạc sĩ tại khoa Y, Đại học Montreal, Canada. Ông đã hoàn thành chương trình làm chức năng bác sĩ nội trú ngoại thần kinh tại Bệnh viện Saint Luc, Đại học Công giáo Louvain, Bỉ và các chương trình fellowship về phẫu thuật động kinh, phẫu thuật cột sống tại Trung tâm Trường viện Đại học Montreal, Canada.
Bác sĩ Trí đã có nhiều năm giảng dạy tại Đại học Y Dược Huế và từng là Trưởng Đơn vị Phẫu Thuật Thần Kinh, Bệnh viện Đại học Y Dược Huế.
Ông là người đầu tiên ở Việt Nam thực hiện thành công ca phẫu thuật thức tỉnh điều trị động kinh, và cũng là người đầu tiên ở Việt Nam thực hiện ca mổ đặt điện cực đo điện não đồ nội sọ (SEEG).
Ngoài công tác giảng dạy và khám chữa bệnh, Bác sĩ Trí còn tham gia nghiên cứu khoa học và đã công bố nhiều kết quả nghiên cứu trên các tạp chí y khoa quốc tế có uy tín, các bài báo của Bác sĩ Trí được trích dẫn trên hơn 200 lần trong các bài báo quốc tế, chỉ số trích dẫn nghiên cứu H-index đạt  8.
Hiện nay, Bác sĩ Trương Văn Trí là Trưởng khoa Ngoại Thần kinh - Cột sống, Bệnh viện Đa khoa Quốc tế Vinmec Central Park.","Thần kinh, Ngoại Thần kinh","Bằng cấp chuyên môn: 
08/2000: Bác sĩ đa khoa, Đại học Y khoa Huế, Việt Nam
08/2010: Thạc sĩ ngoại khoa, Đại học Y Dược Huế, Việt Nam
04/2015: Thạc sĩ khoa học thần kinh (neuroscience), khoa Y - Đại học Montreal, Canada
Tu nghiệp:
09/2002 - 09/2003: Chuyên khoa sơ bộ Ngoại Thần kinh, Bệnh viện Chợ Rẫy, TP.HCM, Việt Nam
10/2004 - 03/2005: Tu nghiệp Ngoại thần kinh, Bệnh viện Erasme và Bệnh viện St Luc, Brussels, Bỉ
02/2008 - 02/2009: Bác sĩ nội trú Ngoại thần kinh, Bệnh viện St Luc, Đại học Công giáo Louvain, Brussels, Bỉ
06/2010 - 09/2010: Tu nghiệp Ngoại thần kinh, Bệnh viện Prince of Wales, Sydney, Australia
07/2013 - 06/2015: Fellow phẫu thuật động kinh, Trung tâm Trường Viện Đại học Montreal, Đại học Montreal, Canada
03/2017 - 05/2017: Fellow phẫu thuật thần kinh tại Đại học Y khoa Nữ sinh Tokyo, Nhật Bản
07/2018 - 03/2021: Fellow phẫu thuật thần kinh chức năng và phẫu thuật cột sống, Trung tâm Trường Viện Đại học Montreal, Đại học Montreal, Canada",Bệnh viện ĐKQT Vinmec Central Park,345000,345000
Lê Hưng,Thạc sĩ,"ThS. BS Lê Hưng được đào tạo bài bản trong nước tại Đại học Y Dược Thành phố Hồ Chí Minh và tốt nghiệp chương trình bác sĩ nội trú chuyên khoa ngoại thần kinh.
ThS. BS Lê Hưng đã có kinh nghiệm thực hành 4 năm tại nhiều bệnh viện lớn trong thành phố. BS Lê Hưng luôn có mong muốn được đồng hành và chữa trị cho các bệnh nhân phẫu thuật thần kinh với mong muốn được cải thiện chất lượng cuộc sống của người bệnh.",Ngoại Thần kinh,"2012 - 2018: Học Bác sĩ đa khoa tại ĐH Y Dược TP HCM
2018 - 2021: Học Bác sĩ nội trú - chuyên ngành Ngoại Thần kinh và sọ não tại Đại học Y Dược TP HCM
2021: Tốt nghiệp Thạc sĩ,Bác sĩ chuyên khoa 1 - Bác sĩ nội trú chuyên ngành Ngoại Thần kinh và sọ não tại Đại học Y Dược TP HCM",Bệnh viện ĐKQT Vinmec Central Park,345000,345000
Nguyễn Phi,,,,,Bệnh viện ĐKQT Vinmec Central Park,345000,345000
Huỳnh Phú An,,,,,Bệnh viện ĐKQT Vinmec Central Park,345000,345000
Trần Kim Tuyến,,,,,Bệnh viện ĐKQT Vinmec Central Park,345000,345000
Võ Duy Tâm,,,,,Bệnh viện ĐKQT Vinmec Central Park,345000,345000
Đoàn Anh Sang,,,,,Bệnh viện ĐKQT Vinmec Central Park,345000,345000
Vũ Đức Công,,,,,Bệnh viện ĐKQT Vinmec Central Park,345000,345000
Nguyễn Huỳnh Đăng Khoa,,,,,Bệnh viện ĐKQT Vinmec Central Park,345000,345000
Hoàng Ngọc Long,,,,,Bệnh viện ĐKQT Vinmec Central Park,345000,345000
Lê Công Đức,,,,,Bệnh viện ĐKQT Vinmec Central Park,345000,345000
Châu Anh Vũ,,,,,Bệnh viện ĐKQT Vinmec Central Park,345000,345000
Nguyễn Xuân Thắng,Bác sĩ chuyên khoa II,"BSCKII Nguyễn Xuân Thắng có nhiều năm kinh nghiệm trong lĩnh vực Sức khỏe tổng quát - Nội tổng quát - Nội tiết thận. Bác sĩ là thành viên của Hội Nội tiết TP.HCM, Hội Nội tiết Việt Nam.","Nội Thận - Tiết niệu, Nội tổng quát, Khám sức khỏe tổng quát","1986 - 1992: Khoa Y - Đại học Y Dược Thành phố Hồ Chí Minh


1992 - 1993: Lớp Sơ bộ chuyên khoa Nội tổng quát - Trường Đại học Y Dược Thành phố Hồ Chí Minh


2000 - 2002: Lớp Cao học Nội tổng quát Trường Đại học Y dược Thành phố Hồ Chí Minh


2013 - 2015: Lớp Chuyên khoa cấp 2 Nội tổng quát - Trường Đại học Y khoa Phạm Ngọc Thạch

Các khóa học bổ sung :

Chương trình tập huấn quản lý chất lượng lâm sàng trong chăm sóc bệnh nhân Đái tháo đường STENO hàng năm


Tập huấn và cập nhật hướng dẫn của ADA trong chẩn đoán và điều trị bệnh đái tháo đường hàng năm


Tập huấn từ lâm sàng đến giải phẫu bệnh thận của Trường Đại học Y Dược Thành phố Hồ Chí Minh


2013: Lớp huấn luyện về ghép tạng của Hội Ghép tạng thế giới


Tập huấn Chẩn đoán và điều trị HIV (module 1 và module 2) của Trung tâm phòng chống HIV/AIDS Thành phố Hồ Chí Minh và Bệnh viện Nhiệt đới


Tập huấn báo cáo an toàn trong thử nghiệm lâm sàng theo GCP


Tập huấn GCP và đạo đức trong nghiên cứu lâm sàng


Các Hội nghị thường niên về Đái tháo đường trong và ngoài nước


Tham gia tổ chức và điều hành các buổi Câu lạc bộ Đái tháo đường của bệnh viện


Tham gia các buổi huấn luyện chẩn đoán và điều trị bệnh đái tháo đường cho bệnh viện tuyến quận huyện


Các tiết CME của Trường Đại học Y Dược Thành phố Hồ Chí Minh


Lớp Siêu âm tim và bệnh lý tim mạch


Lớp Siêu âm tổng quát",Bệnh viện ĐKQT Vinmec Central Park,345000,345000
Nguyễn Thị Ngọc,"Thạc sĩ, Bác sĩ chuyên khoa II","ThS. BS Nguyễn Thị Ngọc có 15 năm kinh nghiệm trong lĩnh vực Nội tiết.
ThS. BS Nguyễn Thị Ngọc hiện là bác sĩ Nội tiết - Khoa Khám bệnh & Nội khoa - Bệnh viện Đa khoa Quốc tế Vinmec Central Park.",Nội tiết,"2002 - 2008: Tốt nghiệp Bác sĩ nội tổng quát tại trường Đại học Y Hải Phòng
2011 - 2014: Học thạc sĩ Nội tổng quát tại trường Đại học Y Hà Nội, trong thời gian này đã có cơ hội thực tập tại khoa Nội tiết - Bệnh viện Bạch Mai
2012 - 2013: Học Bác sĩ nội trú về Đái tháo đường và các bệnh Nội tiết - chuyển hóa của trường Đại học Lyon (Pháp). Đồng thời có cơ hội làm việc 1 năm tại khoa Nội tiết, Bệnh viện Bourgoin Jallieux (Pháp)
2021 - 2023: Học Bác sĩ Chuyên khoa II Nội tiết tại Đại học Y dược TPHCM",Bệnh viện ĐKQT Vinmec Central Park,345000,345000
Nguyễn Thị Thu Hà,"Thạc sĩ, Bác sĩ chuyên khoa II","ThS. BSCK II Nguyễn Thị Thu Hà trên 30 năm kinh nghiệm trong lĩnh vực Nội khoa. Bà là thành viên của Hội Thận học châu Á - Thái Bình Dương, Hội Tiết niệu và Thận học Việt Nam.
ThS. BSCKII Nguyễn Thị Thu Hà hiện là Bác sĩ Nội tiêu hóa - Bệnh viện ĐKQT Vinmec Central Park.","Cơ xương khớp, Tiêu hóa, Huyết học, Nội tổng quát, Khám sức khỏe tổng quát","1983: Tốt nghiệp bác sĩ đa khoa chuyên ngành Đa khoa Nội nhi - Đại học Y Hà Nội
1992: Tốt nghiệp chuyên khoa I chuyên ngành Nội Tổng quát - Đại học Y Hà Nội
2005: Tốt nghiệp chuyên khoa II chuyên ngành Nội thận - Tiết niệu - Đại học Y Hà Nội",Bệnh viện ĐKQT Vinmec Central Park,345000,345000
Trần Thị Hoàng Yến,Bác sĩ chuyên khoa II,"BSCKII Trần Thị Hoàng Yến đã có nhiều năm kinh nghiệm trong lĩnh vực Tiêu hóa - Gan - Mật - Tụy.
Bà là thành viên của Hội Tiêu hóa Hồ Chí Minh, Hội Gan mật Việt Nam, Hội Tiêu hóa Việt Nam, Hội Gan mật Hồ Chí Minh.
BSCKII Trần Thị Hoàng Yến hiện là bác sĩ khoa Nội chung - Khoa Khám bệnh & Nội khoa - Bệnh viện ĐKQT Vinmec Central Park.","Tiêu hóa, Gan - Mật - Tụy","1991 - 1997: Học Bác sĩ đa khoa tại ĐH Y Phạm Ngọc Thạch


2001 - 2003: Chuyên khoa I Truyền nhiễm và các bệnh Nhiệt đới - Trường Đại học Y Dược Hồ Chí Minh


2013 - 2016: Chuyên khoa II Truyền nhiễm và các bệnh Nhiệt đới -Trường Đại học Y Dược Hồ Chí Minh


Tham gia các khóa học ngắn hạn về điều trị bệnh lý tiêu hóa, gan mật do Bộ Y tế và Hội Gan mật Việt Nam và Hồ Chí Minh tổ chức",Bệnh viện ĐKQT Vinmec Central Park,345000,345000
Đào Minh Phương,Thạc sĩ,"Thạc sĩ, Bác sĩ Đào Minh Phương đã có nhiều năm kinh nghiệm trong lĩnh vực Nội tiêu hóa - Nội soi.
Hiện tại, ThS. BS Đào Minh Phương là Trưởng khoa Nội soi can thiệp - Khoa Khám bệnh & Nội khoa, Bệnh viện Đa khoa Quốc tế Vinmec Central Park.
Bác sĩ Thực hiện thăm khám và điều trị các bệnh lý đường tiêu hóa như thực quản, dạ dày, tá tràng, đại tràng, trực tràng-hậu môn; thực hiện các thủ thuật nội soi dạ dày, đại tràng, nội soi can thiệp và điều trị (sinh thiết, cắt polyp, tiêm cầm máu, kẹp clip, lấy dị vật…) và nội soi chẩn đoán ung thư sớm đường tiêu hóa.",Tiêu hóa,"03/2020: Tham gia khóa đào tạo về nội soi can thiệp điều trị tại Bệnh viện Chợ Rẫy, Tp Hồ Chí Minh
03/2019: Tham gia khóa đào tạo về điều trị bệnh trĩ - hậu môn trực tràng tại Bệnh viện Gia Định, Tp Hồ Chí Minh
01/2016: Tham gia khóa đào tạo về nội soi chẩn đoán và điều trị ung thư sớm dạ dày tại Đại học Y Dược, Tp Hồ Chí Minh
2011 - 2014: Tham gia khóa đào tạo về nội soi dạ dày, nội soi đại tràng tại Bệnh viện Chợ Rẫy, Tp Hồ Chí Minh
2010 - 2013: Tốt nghiệp thạc sĩ nội khoa tại Đại học Y Dược, Tp Hồ Chí Minh
1995 - 2001: Học bác sĩ đa khoa tại Đại học Y Dược, Tp Hồ Chí Minh",Bệnh viện ĐKQT Vinmec Central Park,345000,345000
Nguyễn Ngọc Thương,,"BS Nguyễn Ngọc Thương hiện là Bác sĩ Nội soi Tiêu hóa tại Trung Tâm Tiêu Hóa – Bệnh viện Đa khoa Quốc tế Vinmec Central Park, với nhiều năm kinh nghiệm trong lĩnh vực Nội Tiêu hóa và Nội soi. Bác sĩ tốt nghiệp Bác sĩ Đa khoa tại Đại học Y Dược TP. Hồ Chí Minh, đồng thời được đào tạo chuyên sâu về ngoại khoa và nội soi tại Bệnh viện Chợ Rẫy.
Song song với công tác chuyên môn, bác sĩ Thương còn là giảng viên Đại học Y Dược TP. Hồ Chí Minh, đồng thời tham gia hoạt động chuyên môn tại Bệnh viện Đại học Y Dược TP.HCM cơ sở 2 và Phòng khám đa khoa Sài Gòn Kiến Tường. Với nền tảng đào tạo bài bản và kinh nghiệm lâm sàng phong phú, bác sĩ luôn chú trọng mang đến dịch vụ nội soi an toàn, chính xác và hiệu quả cho người bệnh.",Nội Tiêu hoá - Nội soi,"2007 - 2013: Bác sĩ Đa Khoa - Đại học y dược TP Hồ Chí Minh
2017 - 2019: Ngoại khoa - Đại học y dược TP Hồ Chí Minh
02/2017	- 08/2017: Nội soi - Bệnh viện Chợ Rẫy
09/2023 - 12/2023: Nội soi - Bệnh viện Chợ Rẫy",Bệnh viện ĐKQT Vinmec Central Park,345000,345000
Nguyễn Văn Phan,Tiến sĩ,"TTƯT. PGS. TS. BS Nguyễn Văn Phan là một trong những chuyên gia phẫu thuật Tim mạch và là một trong những người đặt nền móng cho ngành Ngoại khoa Tim mạch Việt Nam, có gần 40 năm kinh nghiệm trong lĩnh vực phẫu thuật Tim mạch. PGS Nguyễn Văn Phan đã nghiên cứu và ứng dụng nhiều kỹ thuật tiên tiến vào công tác chẩn đoán và điều trị.
Năm 2015, TS.BS Nguyễn Văn Phan được phong tặng danh hiệu Phó Giáo sư. Đặc biệt, năm 2019, PGS.TS.BS Nguyễn Văn Phan vinh dự được Nhà nước trao tặng danh hiệu Thầy thuốc Ưu tú ghi nhận những cống hiến của Phó Giáo sư cho ngành y tế nước nhà suốt hơn 30 năm.
Trong suốt sự nghiệp của mình, TTƯT.PGS.TS.BS Nguyễn Văn Phan đã giữ nhiều chức vụ quan trọng như Nguyên Phó Giám đốc khối Ngoại Viện Tim TP.HCM, Phó Chủ tịch Hội Phẫu thuật Tim mạch Lồng ngực Việt Nam, Giám đốc chương trình Đào tạo sửa van hai lá cho các phẫu thuật viên châu Á – Thái Bình Dương, Hội viên danh dự của Hiệp hội Phẫu thuật viên Hoàng gia Thái Lan và Hội viên danh dự của Hiệp hội Phẫu thuật Lồng ngực Thái Lan.
Bên cạnh công tác khám chữa bệnh tại bệnh viện, TTƯT.PGS.TS.BS Nguyễn Văn Phan còn là cán bộ thỉnh giảng tại Đại học Y Dược TPHCM và  hướng dẫn cho nhiều thế hệ bác sĩ đạt danh hiệu Thạc sĩ, Tiến sĩ Y học.
Bên cạnh đó, ông còn dành nhiều tâm huyết viết sách và nghiên cứu khoa học với 12 công trình nghiên cứu khoa học đã nghiệm thu, hơn 41 bài báo khoa học được công bố, đăng tải trên tạp chí Y học, ứng dụng thực tế vào đào tạo và công tác khám chữa bệnh tại bệnh viện.
Hiện TTƯT.PGS.TS.BS Nguyễn Văn Phan là Phó Trưởng Tiểu ban Tim mạch, Phó Giám đốc Trung tâm Tim mạch – Phụ trách Ngoại Tim mạch, Bệnh viện ĐKQT Vinmec Central Park.",Ngoại Tim mạch,"1985: Bác sĩ y khoa - Đại học Y dược TPHCM
1985 - 1989: Bác sĩ Nội trú - Bệnh viện Bình Dân
1989 - 1992: Tu nghiệp về Phẫu thuật Tim mạch - Lồng ngực - Bệnh viện Broussais, Paris, Pháp
1998: Thạc sĩ Y học - Đại học Y Dược TPHCM
2006: Tiến sĩ Y học - Đại học Y Dược TPHCM
2015: Phó Giáo sư Y học - Đại học Y Dược TPHCM",Bệnh viện ĐKQT Vinmec Central Park,1800000,1800000
Cao Thanh Tâm,"Thạc sĩ, Bác sĩ chuyên khoa II","ThS.BSCKII Cao Thanh Tâm là bác sĩ giàu kinh nghiệm trong lĩnh vực Tim mạch.
Tốt nghiệp Bác sĩ chuyên khoa cấp II tại Đại học Y khoa Phạm Ngọc Thạch vào năm 2024. Tốt nghiệp Thạc sĩ tại Đại học Y Dược Thành phố Hồ Chí Minh vào năm 2004, cho tới nay bác sĩ Tâm đã công tác tại nhiều bệnh viện như Bệnh viện tỉnh Quảng Ngãi, Bệnh viện Thống nhất Thành phố Hồ Chí Minh, Bệnh viện Bưu điện II.
Hiện nay, ThS.BSCKII Cao Thanh Tâm giữ chức vụ bác sĩ Nội tim mạch - Trung tâm Tim mạch - Bệnh viện Đa khoa Quốc tế Vinmec Central Park.","Tim mạch, Can thiệp tim mạch, Nội Tim mạch","9/1994: Tốt nghiệp Bác sĩ đa khoa tại Đại học Y khoa Huế
6/2004: Thạc sĩ chuyên ngành Nội tổng quát tại Đại học Y Dược TP. Hồ Chí Minh
02/2024: Bác sĩ chuyên khoa cấp II tại Đại học Y khoa Phạm Ngọc Thạch.",Bệnh viện ĐKQT Vinmec Central Park,345000,345000
Trần Hồng Nhật,"Thạc sĩ, Bác sĩ chuyên khoa II","ThS. BS CKII Trần Hồng Nhật có nhiều năm kinh nghiệm trong lĩnh vực khám và điều trị bệnh lý tim mạch can thiệp.
Bác sĩ Nhật nhận bằng Bác sĩ nội trú nội khoa, bằng Thạc sĩ Nội khoa vào năm 2010 đồng thời tham gia nhiều khóa học trong và ngoài nước.
Hiện nay, ThS. BS CKII Trần Hồng Nhật giữ chức vụ bác sĩ Tim mạch can thiệp - Trung tâm Tim mạch - Bệnh viện Đa khoa Quốc tế Vinmec Central Park.","Tim mạch, Can thiệp tim mạch","05/2005: Tốt nghiệp Bác sĩ đa khoa tại Đai học Y Dược Huế
10/2010: Tốt nghiệp Thạc sĩ chuyên ngành Nội khoa - Đại học Y Dược Huế
 2022: Tốt nghiệp bác sĩ CKII tại trường Đại học Y khoa Phạm Ngọc Thạch 2022: Tốt nghiệp bác sĩ CKII tại trường Đại học Y khoa Phạm Ngọc Thạch",Bệnh viện ĐKQT Vinmec Central Park,345000,345000
Lương Công Hiếu,Bác sĩ nội trú,"Bác sĩ Nội trú Lương Công Hiếu là chuyên gia Ngoại Tim mạch với nhiều năm kinh nghiệm. Ông tốt nghiệp Đại học Y Dược TP. Hồ Chí Minh và hoàn thành chương trình Bác sĩ nội trú chuyên ngành Ngoại Tim mạch – Lồng ngực tại Đại học Paris Descartes (Pháp).
Bác sĩ cũng nhận bằng Thạc sĩ, hiện là nghiên cứu sinh Tiến sĩ cùng chuyên ngành, đồng thời từng nhận các học bổng danh giá về phẫu thuật tim mạch và tim bẩm sinh tại Viện Tim Quốc gia Malaysia và Bệnh viện Nhi Shizuoka (Nhật Bản).
Trong quá trình công tác, bác sĩ Hiếu có nhiều năm làm việc tại Bệnh viện Đại học Y Dược TP. Hồ Chí Minh, giữ vai trò Phó khoa tại Bệnh viện Hoàn Mỹ Sài Gòn trước khi trở thành Trưởng khoa Ngoại Tim mạch – Bệnh viện Đa khoa Quốc tế Vinmec Central Park, nơi ông tiếp tục cống hiến chuyên môn sâu trong điều trị các ca bệnh tim mạch phức tạp.",Tim mạch,"2000-2006: Đại học Y Dược TP HCM
2007-2008: BS Nội Trú - University of Paris Descartes - Chuyên ngành Ngoại tim mạch lồng ngực
2010 - 2012: Học Cao học - Đại học Y Dược TP HCM - Chuyên ngành Ngoại tim mạch lồng ngực
2015 - 2016: Học bổng - Institut Jantung Negara - Chuyên ngành Ngoại tim mạch
04/2016 10/2016: Học bổng - Shizuoka Children Hospital - Chuyên ngành Ngoại tim mạch – Tim bẩm sinh
2023: Nghiên cứu sinh - Đại học Y Dược TP HCM - Chuyên ngành Ngoại tim mạch lồng ngực",Bệnh viện ĐKQT Vinmec Central Park,345000,345000
Hồ Thượng Dũng,,,,,Bệnh viện ĐKQT Vinmec Central Park,1800000,1800000
Võ Anh Minh,,,,,Bệnh viện ĐKQT Vinmec Central Park,345000,345000
Dương Thanh Trung,,,,,Bệnh viện ĐKQT Vinmec Central Park,345000,345000
Phạm Quốc Văn,"Bác sĩ chuyên khoa I, Bác sĩ nội trú","BSCKI. BSNT Phạm Quốc Văn tốt nghiệp bác sĩ nội trú  loại giỏi chuyên ngành Phục hồi chức năng tại Đại học Y dược TPHCM, được đào tạo chuyên sâu tại các bệnh viện lớn tại TP. HCM như Bệnh viện Đại học Y dược TPHCM, Bệnh viện Chợ Rẫy, Bệnh viện Chấn thương chỉnh hình, Bệnh viện 1A Lý Thường Kiệt,…
Cảm thông và thấu hiểu về những khó khăn mà quý khách hàng phải trải qua từ những khiếm khuyết chức năng đến từ nhiều bệnh lý khác nhau, BSCK I. BSNT Phạm Quốc Văn luôn mong muốn được dùng kiến thức và kinh nghiệm của mình để cùng đồng hành với quý khách hàng trong quá trình phục hồi, hướng tới một cuộc sống chất lượng cao nhất. Với phương châm không chỉ điều trị bệnh mà còn là điều trị con người, BSCKI. BSNT Phạm Quốc Văn hy vọng khách hàng sẽ được tiếp cận một điều trị phục hồi chức năng chuẩn hóa, nhân văn, an toàn và hiệu quả.
Hiện tại, BSCKI. BSNT Phạm Quốc Văn đang giữ chức vụ là Trưởng chuyên khoa Phục hồi chức năng tại Bệnh viện Đa khoa Quốc tế Vinmec Central Park.",Phục hồi chức năng,"2020 - 2021: Hoàn thành khóa đào tạo “Phục hồi chức năng sau mổ tim hở”, “Phục hồi chức năng rối loạn nuốt” tại Bệnh viện Đại học Y Dược TP Hồ Chí Minh


2020: Tốt nghiệp loại giỏi BSCK I - Bác sĩ nội trú chuyên ngành Phục hồi chức năng tại Đại học Y Dược TP Hồ Chí Minh


2017: Chứng chỉ “Phục hồi chức năng tai biến mạch máu não” của tổ chức AVANT - Áo


2017 - 2020: Học Bác sĩ nội trú - chuyên ngành Phục hồi chức năng tại Đại học Y Dược TP Hồ Chí Minh


9/2017: Tốt nghiệp Bác sĩ đa khoa tại Đại học Y dược TP. HCM


2011 - 2017: Học Bác sĩ đa khoa tại Đại học Y Dược TP Hồ Chí Minh",Bệnh viện ĐKQT Vinmec Central Park,345000,345000
Trần Thị Thu Hương,Bác sĩ chuyên khoa I,"BSCKI Trần Thị Thu Hương đã có nhiều năm kinh nghiệm trong lĩnh vực Phục hồi chức năng.
Bà đã hoàn thành khóa đào tạo Phục hồi chức năng cho người bệnh bị chấn thương tủy sống và Phục hồi chức năng bàn tay tại Đại học Y khoa Melbourne. Ngoài ra, bà còn là nguyên Phó trưởng khoa Vật lý trị liệu - Phục hồi chức năng tại Bệnh viện Trung Ương Huế.
Hiện tại, BSCKI Trần Thị Thu Hương đang giữ chức vụ là Bác sĩ Phục hồi chức năng tại khoa Ngoại tổng hợp - Bệnh viện Đa khoa Quốc tế Vinmec Central Park.",Phục hồi chức năng,"1995: Tốt nghiệp chuyên ngành Bác sĩ đa khoa trường Đại học Y Dược Huế
2008: Tốt nghiệp chuyên khoa I chuyên ngành Vật lý trị liệu - Phục hồi chức năng tại Đại học Y Hà Nội
2010 - 2012: Được đào tạo liên tục với chứng chỉ: Phục hồi chức năng cho người bệnh bị chấn thương tủy sống và Phục hồi chức năng bàn tay do Đại học Y khoa Melbourne đào tạo",Bệnh viện ĐKQT Vinmec Central Park,345000,345000
Phòng khám RHM,,,,,Bệnh viện ĐKQT Vinmec Central Park,345000,345000
Phòng khám RHM 1,,,,,Bệnh viện ĐKQT Vinmec Central Park,345000,345000
